Исходное слово|Перевод|Количество упоминаний
я|.|6
и|and|4
что|what|4
не|not|4
ну|well|4
это|is|4
вот|BDT|4
кокос|coconut|3
протухнуть|протухнуть|3
в|in|3
от|from|3
на|Moscow City Committee for State Registration of Real Estate Titles|3
день|day|2
а|a|2
он|??|2
сказать|tell|2
с|с|2
ты|ration|2
человек|people|2
философ|philosopher|2
заниматься|take up|2
сейчас|Now,|2
подтвердиться|confirm|2
послушать|Hear|2
видео|video|2
хотеть|want|2
такой|so|2
чувак|Dude|2
лить|casting|2
вода|water|2
протяжение|stretch|2
40|40|2
минута|a minute|2
однажды|at once|1
пила|saw|1
весь|весь|1
потом|then|1
попробовать|Free trial|1
влад|Vlad|1
1|1|1
зима|winter|1
вы|vy|1
кстати|By the way|1
ураааа|(if)|1
вернуть|to return|1
деньга|money|1
магазин|Store|1
лох|Fucking sucker.|1
настояться|infuse|1
хотя|however|1
впринцип|inprinciple|1
с++|c|1
пугать|scare |1
бояться|fear|1
простой|easy|1
лишать|deprive|1
себя|it|1
возможность|Logical possibility|1
впать|to fall in|1
депрессия|depression|1
чтение|Reading|1
ницше|Nietzsche. |1
сойти|get off|1
ум|Ум|1
гегель|hegel|1
ненавидеть|hate|1
шопенгауэр|schopenhauer|1
всегда|Always|1
считать|very long time|1
который|which the|1
быть|be|1
лень|Laziness|1
что-то|something|1
они|Oni|1
какой-то|Some kind of.|1
фигня|penis. |1
ура|Huzzah|1
5|5|1
год|year|1
модерк|modern|1
редакторк|editors|1
русский|английский|1
мморпг|mmorpg|1
отечественный|domestic|1
наш|En|1
ответ|reply|1
вов|wol|1
1/5|1/5|1
жизнь|life|1
аллод|allod|1
умеет?|Skill|1
спасибо|thank you|1
психотерапевт|Psychotherapist|1
оказывается!|It turns out|1
обращаться|address|1
баланда|balance|1
